bloco,question,year,answer,percentage
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2015,Sim,67
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2015,Não,32
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2015,NS/NR,1
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2017,Sim,67
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2017,Não,31
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2017,NS/NR,2
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você poderia citar algumas das garantias que a Lei Maria da Penha oferece à mulher que sofreu violência?,2009,Outra resposta,21
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você poderia citar algumas das garantias que a Lei Maria da Penha oferece à mulher que sofreu violência?,2009,Programas de proteção à mulher,18
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você poderia citar algumas das garantias que a Lei Maria da Penha oferece à mulher que sofreu violência?,2009,Penas para o agressor de 3 meses a 3 anos de prisão,13
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você poderia citar algumas das garantias que a Lei Maria da Penha oferece à mulher que sofreu violência?,2009,Casa abrigo,10
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você poderia citar algumas das garantias que a Lei Maria da Penha oferece à mulher que sofreu violência?,2009,Afastamento do agressor do lar,5
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você poderia citar algumas das garantias que a Lei Maria da Penha oferece à mulher que sofreu violência?,2009,Assistência de advogado ou defensor público,2
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você poderia citar algumas das garantias que a Lei Maria da Penha oferece à mulher que sofreu violência?,2009,Prisão preventiva,2
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você poderia citar algumas das garantias que a Lei Maria da Penha oferece à mulher que sofreu violência?,2009,Prisão em flagrante,1
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2011,Melhor,60
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2011,Igual,29
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2011,Pior,8
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2011,NS/NR,3
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2013,Melhor,66
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2013,Igual,28
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2013,Pior,5
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2013,NS/NR,2
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2015,Melhor,56
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2015,Igual,35
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2015,Pior,8
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2015,NS/NR,1
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha deve valer também para ex-namorado e ex-companheiro ou ex-marido?,2011,Sim,96
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha deve valer também para ex-namorado e ex-companheiro ou ex-marido?,2011,Não,3
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha deve valer também para ex-namorado e ex-companheiro ou ex-marido?,2011,NS/NR,1
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Quando o agressor for condenado por até um ano, o juiz pode trocar a pena de prisão por outra pena alternativa ou suspender o processo. Para você esse entendimento do juiz:",2011,Enfraquece a lei,79
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Quando o agressor for condenado por até um ano, o juiz pode trocar a pena de prisão por outra pena alternativa ou suspender o processo. Para você esse entendimento do juiz:",2011,Fortalece a lei,16
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Quando o agressor for condenado por até um ano, o juiz pode trocar a pena de prisão por outra pena alternativa ou suspender o processo. Para você esse entendimento do juiz:",2011,NS/NR,5
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Quando o agressor for condenado por até um ano, o juiz pode trocar a pena de prisão por outra pena alternativa ou suspender o processo. Para você esse entendimento do juiz:",2011,Diminui a proteção à mulher,78
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Quando o agressor for condenado por até um ano, o juiz pode trocar a pena de prisão por outra pena alternativa ou suspender o processo. Para você esse entendimento do juiz:",2011,Aumenta a proteção à mulher,18
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Quando o agressor for condenado por até um ano, o juiz pode trocar a pena de prisão por outra pena alternativa ou suspender o processo. Para você esse entendimento do juiz:",2011,NS/NR,4
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Na sua opinião, o agressor deve ou não deve ser processado mesmo contra a vontade da vítima?",2013,Deve,94
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Na sua opinião, o agressor deve ou não deve ser processado mesmo contra a vontade da vítima?",2013,Não deve,5
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Na sua opinião, o agressor deve ou não deve ser processado mesmo contra a vontade da vítima?",2013,NS/NR,1
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Na sua opinião, o agressor deve ou não deve ser processado mesmo contra a vontade da vítima?",2015,Deve,97
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Na sua opinião, o agressor deve ou não deve ser processado mesmo contra a vontade da vítima?",2015,Não deve,2
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Na sua opinião, o agressor deve ou não deve ser processado mesmo contra a vontade da vítima?",2015,NS/NR,1
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Na sua opinião, o agressor deve ou não deve ser processado mesmo contra a vontade da vítima?",2017,Deve,97
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Na sua opinião, o agressor deve ou não deve ser processado mesmo contra a vontade da vítima?",2017,Não deve,2
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Na sua opinião, o agressor deve ou não deve ser processado mesmo contra a vontade da vítima?",2017,NS/NR,1
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2017,Sim,26
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2017,Em parte,53
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2017,Não,20
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2017,NS/NR,1
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2019,Sim,30
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2019,Em parte,47
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2019,Não,21
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2019,NS/NR,2
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2021,Sim,30
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2021,Em parte,48
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2021,Não,21
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2021,NS/NR,2
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2023,Sim,29
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2023,Em parte,51
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2023,Não,19
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2023,NS/NR,1
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2017,Muito,18
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2017,Pouco,77
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2017,Nada,4
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2017,NS/NR,1
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2019,Muito,19
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2019,Pouco,68
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2019,Nada,11
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2019,NS/NR,2
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2021,Muito,19
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2021,Pouco,69
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2021,Nada,11
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2021,NS/NR,1
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2023,Muito,24
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2023,Pouco,67
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2023,Nada,8
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2023,NS/NR,1
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Como você avalia a atuação do congresso nacional na criação de leis para proteger mulheres?,2019,Ótima,7
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Como você avalia a atuação do congresso nacional na criação de leis para proteger mulheres?,2019,Boa,12
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Como você avalia a atuação do congresso nacional na criação de leis para proteger mulheres?,2019,Regular,41
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Como você avalia a atuação do congresso nacional na criação de leis para proteger mulheres?,2019,Ruim,14
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Como você avalia a atuação do congresso nacional na criação de leis para proteger mulheres?,2019,Péssima,24
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Como você avalia a atuação do congresso nacional na criação de leis para proteger mulheres?,2019,NS/NR,3
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Como você avalia a atuação do congresso nacional na criação de leis para proteger mulheres?,2021,Ótima,7
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Como você avalia a atuação do congresso nacional na criação de leis para proteger mulheres?,2021,Boa,10
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Como você avalia a atuação do congresso nacional na criação de leis para proteger mulheres?,2021,Regular,42
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Como você avalia a atuação do congresso nacional na criação de leis para proteger mulheres?,2021,Ruim,12
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Como você avalia a atuação do congresso nacional na criação de leis para proteger mulheres?,2021,Péssima,27
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Como você avalia a atuação do congresso nacional na criação de leis para proteger mulheres?,2021,NS/NR,4
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Em sua opinião, agressores de mulheres devem ou não devem ser obrigados a utilizar tornozeleira eletrônica?",2019,Devem,82
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Em sua opinião, agressores de mulheres devem ou não devem ser obrigados a utilizar tornozeleira eletrônica?",2019,Não devem,15
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Em sua opinião, agressores de mulheres devem ou não devem ser obrigados a utilizar tornozeleira eletrônica?",2019,NS/NR,3
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Para você, caso os agressores tenham que usar tornozeleira eletrônica, a violência contra a mulher vai:",2019,Aumentar,10
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Para você, caso os agressores tenham que usar tornozeleira eletrônica, a violência contra a mulher vai:",2019,Permanecer igual,33
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Para você, caso os agressores tenham que usar tornozeleira eletrônica, a violência contra a mulher vai:",2019,Diminuir,55
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Para você, caso os agressores tenham que usar tornozeleira eletrônica, a violência contra a mulher vai:",2019,NS/NR,3
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"O senado avalia tornar crime a violência contra mulher cometida por meio eletrônico, como redes sociais e mensagens de celular. Se essa proposta for aprovada, você acha que a proteção à mulher vai:",2021,Aumentar,49
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"O senado avalia tornar crime a violência contra mulher cometida por meio eletrônico, como redes sociais e mensagens de celular. Se essa proposta for aprovada, você acha que a proteção à mulher vai:",2021,Permanecer igual,32
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"O senado avalia tornar crime a violência contra mulher cometida por meio eletrônico, como redes sociais e mensagens de celular. Se essa proposta for aprovada, você acha que a proteção à mulher vai:",2021,Diminuir,16
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"O senado avalia tornar crime a violência contra mulher cometida por meio eletrônico, como redes sociais e mensagens de celular. Se essa proposta for aprovada, você acha que a proteção à mulher vai:",2021,NS/NR,3
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre medida protetiva?,2023,Muito,16
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre medida protetiva?,2023,Pouco,68
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre medida protetiva?,2023,Nada,15
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre medida protetiva?,2023,NS/NR,1
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Alguma vez, você solicitou medida protetiva para sua segurança?",2023,Sim,27
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Alguma vez, você solicitou medida protetiva para sua segurança?",2023,Não,73
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Alguma vez, você solicitou medida protetiva para sua segurança?",2023,NS/NR,0
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Houve descumprimento dessa medida por parte da pessoa que te agrediu?,2023,Sim,48
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Houve descumprimento dessa medida por parte da pessoa que te agrediu?,2023,Não,49
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Houve descumprimento dessa medida por parte da pessoa que te agrediu?,2023,NS/NR,3
A violência vivida / testemunhada,A senhora já presenciou algum ato de violência doméstica contra a mulher?,2005,Sim,39
A violência vivida / testemunhada,A senhora já presenciou algum ato de violência doméstica contra a mulher?,2005,Não,61
A violência vivida / testemunhada,A senhora já presenciou algum ato de violência doméstica contra a mulher?,2005,NS/NR,0
A violência vivida / testemunhada,E qual foi o tipo de violência que você presenciou?,2005,Física,80
A violência vivida / testemunhada,E qual foi o tipo de violência que você presenciou?,2005,Psicológica,9
A violência vivida / testemunhada,E qual foi o tipo de violência que você presenciou?,2005,Moral,8
A violência vivida / testemunhada,E qual foi o tipo de violência que você presenciou?,2005,Sexual,3
A violência vivida / testemunhada,E qual foi o tipo de violência que você presenciou?,2005,NS/NR,1
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2005,Sim,17
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2005,Não,82
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2005,NS/NR,0
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2007,Sim,15
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2007,Não,85
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2007,NS/NR,0
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2009,Sim,19
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2009,Não,81
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2009,NS/NR,0
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2011,Sim,19
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2011,Não,81
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2011,NS/NR,0
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2013,Sim,19
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2013,Não,81
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2013,NS/NR,0
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2015,Sim,18
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2015,Não,82
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2015,NS/NR,0
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2017,Sim,29
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2017,Não,71
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2017,NS/NR,0
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2019,Sim,27
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2019,Não,73
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2019,NS/NR,0
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2021,Sim,27
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2021,Não,72
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2021,NS/NR,0
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2023,Sim,30
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2023,Não,69
A violência vivida / testemunhada,Você já sofreu algum tipo de violência doméstica ou familiar provocada por um homem?,2023,NS/NR,0
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2005,Física,54
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2005,Psicológica,23
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2005,Moral,14
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2005,Sexual,7
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2005,NS/NR,1
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2007,Física,59
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2007,Psicológica,11
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2007,Moral,9
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2007,Sexual,5
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2007,NS/NR,0
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2009,Física,74
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2009,Moral,30
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2009,Psicológica,29
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2009,Patrimonial,7
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2009,Sexual,6
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2009,NS/NR,1
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2011,Sexual,8
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2011,Patrimonial,7
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2011,Física,69
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2011,Psicológica,41
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2011,Moral,35
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2011,NS/NR,1
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2013,Patrimonial,8
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2013,Física,64
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2013,Moral,41
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2013,Psicológica,40
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2013,Sexual,14
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2013,NS/NR,0
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2015,Patrimonial,9
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2015,Física,70
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2015,Psicológica,52
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2015,Moral,35
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2015,Sexual,15
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2015,NS/NR,0
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2017,Física,67
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2017,Psicológica,47
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2017,Moral,36
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2017,Sexual,15
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2017,Patrimonial,8
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2017,NS/NR,0
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2019,Física,66
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2019,Psicológica,52
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2019,Moral,36
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2019,Sexual,16
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2019,Patrimonial,11
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2019,NS/NR,0
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2021,Física,68
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2021,Psicológica,61
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2021,Moral,44
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2021,Sexual,21
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2021,Patrimonial,17
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2021,NS/NR,0
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2023,Psicológica,89
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2023,Moral,77
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2023,Física,76
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2023,Patrimonial,34
A violência vivida / testemunhada,E qual foi o tipo de violência sofrida?,2023,Sexual,25
A violência vivida / testemunhada,Quantas vezes a senhora foi vítima de violência?,2005,1 vez,28
A violência vivida / testemunhada,Quantas vezes a senhora foi vítima de violência?,2005,2 vezes,10
A violência vivida / testemunhada,Quantas vezes a senhora foi vítima de violência?,2005,3 vezes,11
A violência vivida / testemunhada,Quantas vezes a senhora foi vítima de violência?,2005,4 vezes ou mais,50
A violência vivida / testemunhada,Quantas vezes a senhora foi vítima de violência?,2005,NS/NR,1
A violência vivida / testemunhada,Qual era a sua idade quando você foi agredida pela primeira vez?,2005,até 19 anos,37
A violência vivida / testemunhada,Qual era a sua idade quando você foi agredida pela primeira vez?,2005,20 a 29 anos,39
A violência vivida / testemunhada,Qual era a sua idade quando você foi agredida pela primeira vez?,2005,30 a 39 anos,14
A violência vivida / testemunhada,Qual era a sua idade quando você foi agredida pela primeira vez?,2005,40 a 49 anos,8
A violência vivida / testemunhada,Qual era a sua idade quando você foi agredida pela primeira vez?,2005,50 a 59 anos,1
A violência vivida / testemunhada,Qual era a sua idade quando você foi agredida pela primeira vez?,2005,60 anos ou mais,1
A violência vivida / testemunhada,Qual era a sua idade quando você foi agredida pela primeira vez?,2005,NS/NR,0
A violência vivida / testemunhada,Qual era a sua idade quando você foi agredida pela primeira vez?,2007,até 19 anos,35
A violência vivida / testemunhada,Qual era a sua idade quando você foi agredida pela primeira vez?,2007,20 a 29 anos,43
A violência vivida / testemunhada,Qual era a sua idade quando você foi agredida pela primeira vez?,2007,30 a 39 anos,16
A violência vivida / testemunhada,Qual era a sua idade quando você foi agredida pela primeira vez?,2007,40 a 49 anos,2
A violência vivida / testemunhada,Qual era a sua idade quando você foi agredida pela primeira vez?,2007,50 a 59 anos,2
A violência vivida / testemunhada,Qual era a sua idade quando você foi agredida pela primeira vez?,2007,60 anos ou mais,0
A violência vivida / testemunhada,Qual era a sua idade quando você foi agredida pela primeira vez?,2007,NS/NR,2
A violência vivida / testemunhada,Qual era a sua idade quando você foi agredida pela primeira vez?,2009,até 19 anos,24
A violência vivida / testemunhada,Qual era a sua idade quando você foi agredida pela primeira vez?,2009,20 a 29 anos,46
