bloco,question,year,answer,percentage,category_translated,question_translated,answer_translated,total_answers
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Já ouviu falar da Lei Maria da Penha?,2009,Sim,83,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,Yes,686
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Já ouviu falar da Lei Maria da Penha?,2009,Não,17,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,No,140
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Já ouviu falar da Lei Maria da Penha?,2009,NS/NR,0,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,NS/NR,0
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Já ouviu falar da Lei Maria da Penha?,2011,Sim,98,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,Yes,1324
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Já ouviu falar da Lei Maria da Penha?,2011,Não,2,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,No,27
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Já ouviu falar da Lei Maria da Penha?,2011,NS/NR,0,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,NS/NR,0
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Já ouviu falar da Lei Maria da Penha?,2013,Sim,99,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,Yes,1235
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Já ouviu falar da Lei Maria da Penha?,2013,Não,1,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,No,12
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Já ouviu falar da Lei Maria da Penha?,2013,NS/NR,0,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,NS/NR,0
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Já ouviu falar da Lei Maria da Penha?,2015,Sim,100,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,Yes,1102
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Já ouviu falar da Lei Maria da Penha?,2015,Não,0,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,No,0
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Já ouviu falar da Lei Maria da Penha?,2015,NS/NR,0,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,NS/NR,0
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Já ouviu falar da Lei Maria da Penha?,2017,Sim,100,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,Yes,1116
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Já ouviu falar da Lei Maria da Penha?,2017,NS/NR,0,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,NS/NR,0
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2009,Sim,62,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",Yes,512
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2009,Não,35,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",No,289
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2009,NS/NR,2,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",NS/NR,16
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2011,Sim,64,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",Yes,865
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2011,Não,33,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",No,446
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2011,NS/NR,3,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",NS/NR,40
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2013,Sim,63,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",Yes,786
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2013,Não,35,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",No,436
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2013,NS/NR,2,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",NS/NR,24
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2015,Sim,67,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",Yes,738
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2015,Não,32,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",No,352
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2015,NS/NR,1,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",NS/NR,11
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2017,Sim,67,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",Yes,747
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2017,Não,31,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",No,345
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"De acordo com a Lei Maria da Penha, em alguns casos, após denunciar a agressão, a mulher não pode mais retirar a queixa na delegacia. Para você, esta regra faz com que a mulher deixe de denunciar o agressor?",2017,NS/NR,2,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",NS/NR,22
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você poderia citar algumas das garantias que a Lei Maria da Penha oferece à mulher que sofreu violência?,2009,Outra resposta,21,Knowledge and effectiveness of laws (recognition of actions/laws),Could you mention some of the guarantees that the Maria da Penha Law offers women who suffered violence?,Another answer,173
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você poderia citar algumas das garantias que a Lei Maria da Penha oferece à mulher que sofreu violência?,2009,Programas de proteção à mulher,18,Knowledge and effectiveness of laws (recognition of actions/laws),Could you mention some of the guarantees that the Maria da Penha Law offers women who suffered violence?,Women's Protection Programs,148
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você poderia citar algumas das garantias que a Lei Maria da Penha oferece à mulher que sofreu violência?,2009,Penas para o agressor de 3 meses a 3 anos de prisão,13,Knowledge and effectiveness of laws (recognition of actions/laws),Could you mention some of the guarantees that the Maria da Penha Law offers women who suffered violence?,Penalties for the aggressor from 3 months to 3 years in prison,107
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você poderia citar algumas das garantias que a Lei Maria da Penha oferece à mulher que sofreu violência?,2009,Casa abrigo,10,Knowledge and effectiveness of laws (recognition of actions/laws),Could you mention some of the guarantees that the Maria da Penha Law offers women who suffered violence?,Shelter,82
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você poderia citar algumas das garantias que a Lei Maria da Penha oferece à mulher que sofreu violência?,2009,Afastamento do agressor do lar,5,Knowledge and effectiveness of laws (recognition of actions/laws),Could you mention some of the guarantees that the Maria da Penha Law offers women who suffered violence?,Home aggressor removal,41
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você poderia citar algumas das garantias que a Lei Maria da Penha oferece à mulher que sofreu violência?,2009,Assistência de advogado ou defensor público,2,Knowledge and effectiveness of laws (recognition of actions/laws),Could you mention some of the guarantees that the Maria da Penha Law offers women who suffered violence?,Assistance of lawyer or public defender,16
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você poderia citar algumas das garantias que a Lei Maria da Penha oferece à mulher que sofreu violência?,2009,Prisão preventiva,2,Knowledge and effectiveness of laws (recognition of actions/laws),Could you mention some of the guarantees that the Maria da Penha Law offers women who suffered violence?,Pre -trial detention,16
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você poderia citar algumas das garantias que a Lei Maria da Penha oferece à mulher que sofreu violência?,2009,Prisão em flagrante,1,Knowledge and effectiveness of laws (recognition of actions/laws),Could you mention some of the guarantees that the Maria da Penha Law offers women who suffered violence?,Arrest in the act,8
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2011,Melhor,60,Knowledge and effectiveness of laws (recognition of actions/laws),"After the Maria da Penha Law, the protection of the woman is:",Better,811
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2011,Igual,29,Knowledge and effectiveness of laws (recognition of actions/laws),"After the Maria da Penha Law, the protection of the woman is:",Equal,392
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2011,Pior,8,Knowledge and effectiveness of laws (recognition of actions/laws),"After the Maria da Penha Law, the protection of the woman is:",Worse,108
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2011,NS/NR,3,Knowledge and effectiveness of laws (recognition of actions/laws),"After the Maria da Penha Law, the protection of the woman is:",NS/NR,40
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2013,Melhor,66,Knowledge and effectiveness of laws (recognition of actions/laws),"After the Maria da Penha Law, the protection of the woman is:",Better,823
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2013,Igual,28,Knowledge and effectiveness of laws (recognition of actions/laws),"After the Maria da Penha Law, the protection of the woman is:",Equal,349
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2013,Pior,5,Knowledge and effectiveness of laws (recognition of actions/laws),"After the Maria da Penha Law, the protection of the woman is:",Worse,62
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2013,NS/NR,2,Knowledge and effectiveness of laws (recognition of actions/laws),"After the Maria da Penha Law, the protection of the woman is:",NS/NR,24
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2015,Melhor,56,Knowledge and effectiveness of laws (recognition of actions/laws),"After the Maria da Penha Law, the protection of the woman is:",Better,617
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2015,Igual,35,Knowledge and effectiveness of laws (recognition of actions/laws),"After the Maria da Penha Law, the protection of the woman is:",Equal,385
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2015,Pior,8,Knowledge and effectiveness of laws (recognition of actions/laws),"After the Maria da Penha Law, the protection of the woman is:",Worse,88
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Depois da Lei Maria da Penha, a proteção da mulher está:",2015,NS/NR,1,Knowledge and effectiveness of laws (recognition of actions/laws),"After the Maria da Penha Law, the protection of the woman is:",NS/NR,11
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha deve valer também para ex-namorado e ex-companheiro ou ex-marido?,2011,Sim,96,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law should also be valid for ex-boyfriend and former colleague or ex-husband?,Yes,1297
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha deve valer também para ex-namorado e ex-companheiro ou ex-marido?,2011,Não,3,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law should also be valid for ex-boyfriend and former colleague or ex-husband?,No,40
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha deve valer também para ex-namorado e ex-companheiro ou ex-marido?,2011,NS/NR,1,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law should also be valid for ex-boyfriend and former colleague or ex-husband?,NS/NR,13
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Quando o agressor for condenado por até um ano, o juiz pode trocar a pena de prisão por outra pena alternativa ou suspender o processo. Para você esse entendimento do juiz:",2011,Enfraquece a lei,79,Knowledge and effectiveness of laws (recognition of actions/laws),"When the perpetrator is convicted for up to one year, the judge may exchange the prison sentence for another alternative penalty or suspend the process. For you this understanding of the judge:",Weakens the law,1068
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Quando o agressor for condenado por até um ano, o juiz pode trocar a pena de prisão por outra pena alternativa ou suspender o processo. Para você esse entendimento do juiz:",2011,Fortalece a lei,16,Knowledge and effectiveness of laws (recognition of actions/laws),"When the perpetrator is convicted for up to one year, the judge may exchange the prison sentence for another alternative penalty or suspend the process. For you this understanding of the judge:",Strengthen the law,216
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Quando o agressor for condenado por até um ano, o juiz pode trocar a pena de prisão por outra pena alternativa ou suspender o processo. Para você esse entendimento do juiz:",2011,NS/NR,5,Knowledge and effectiveness of laws (recognition of actions/laws),"When the perpetrator is convicted for up to one year, the judge may exchange the prison sentence for another alternative penalty or suspend the process. For you this understanding of the judge:",NS/NR,67
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Quando o agressor for condenado por até um ano, o juiz pode trocar a pena de prisão por outra pena alternativa ou suspender o processo. Para você esse entendimento do juiz:",2011,Diminui a proteção à mulher,78,Knowledge and effectiveness of laws (recognition of actions/laws),"When the perpetrator is convicted for up to one year, the judge may exchange the prison sentence for another alternative penalty or suspend the process. For you this understanding of the judge:",Decreases protection to women,1054
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Quando o agressor for condenado por até um ano, o juiz pode trocar a pena de prisão por outra pena alternativa ou suspender o processo. Para você esse entendimento do juiz:",2011,Aumenta a proteção à mulher,18,Knowledge and effectiveness of laws (recognition of actions/laws),"When the perpetrator is convicted for up to one year, the judge may exchange the prison sentence for another alternative penalty or suspend the process. For you this understanding of the judge:",Increases protection for women,243
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Quando o agressor for condenado por até um ano, o juiz pode trocar a pena de prisão por outra pena alternativa ou suspender o processo. Para você esse entendimento do juiz:",2011,NS/NR,4,Knowledge and effectiveness of laws (recognition of actions/laws),"When the perpetrator is convicted for up to one year, the judge may exchange the prison sentence for another alternative penalty or suspend the process. For you this understanding of the judge:",NS/NR,54
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Na sua opinião, o agressor deve ou não deve ser processado mesmo contra a vontade da vítima?",2013,Deve,94,Knowledge and effectiveness of laws (recognition of actions/laws),"In your opinion, should the perpetrator even be sued against the victim's will?",He must,1173
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Na sua opinião, o agressor deve ou não deve ser processado mesmo contra a vontade da vítima?",2013,Não deve,5,Knowledge and effectiveness of laws (recognition of actions/laws),"In your opinion, should the perpetrator even be sued against the victim's will?",Should not,62
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Na sua opinião, o agressor deve ou não deve ser processado mesmo contra a vontade da vítima?",2013,NS/NR,1,Knowledge and effectiveness of laws (recognition of actions/laws),"In your opinion, should the perpetrator even be sued against the victim's will?",NS/NR,12
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Na sua opinião, o agressor deve ou não deve ser processado mesmo contra a vontade da vítima?",2015,Deve,97,Knowledge and effectiveness of laws (recognition of actions/laws),"In your opinion, should the perpetrator even be sued against the victim's will?",He must,1068
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Na sua opinião, o agressor deve ou não deve ser processado mesmo contra a vontade da vítima?",2015,Não deve,2,Knowledge and effectiveness of laws (recognition of actions/laws),"In your opinion, should the perpetrator even be sued against the victim's will?",Should not,22
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Na sua opinião, o agressor deve ou não deve ser processado mesmo contra a vontade da vítima?",2015,NS/NR,1,Knowledge and effectiveness of laws (recognition of actions/laws),"In your opinion, should the perpetrator even be sued against the victim's will?",NS/NR,11
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Na sua opinião, o agressor deve ou não deve ser processado mesmo contra a vontade da vítima?",2017,Deve,97,Knowledge and effectiveness of laws (recognition of actions/laws),"In your opinion, should the perpetrator even be sued against the victim's will?",He must,1082
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Na sua opinião, o agressor deve ou não deve ser processado mesmo contra a vontade da vítima?",2017,Não deve,2,Knowledge and effectiveness of laws (recognition of actions/laws),"In your opinion, should the perpetrator even be sued against the victim's will?",Should not,22
Conhecimento e eficácia das leis (reconhecimento de ações/leis),"Na sua opinião, o agressor deve ou não deve ser processado mesmo contra a vontade da vítima?",2017,NS/NR,1,Knowledge and effectiveness of laws (recognition of actions/laws),"In your opinion, should the perpetrator even be sued against the victim's will?",NS/NR,11
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2017,Sim,26,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,Yes,290
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2017,Em parte,53,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,Partly,591
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2017,Não,20,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,No,223
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2017,NS/NR,1,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,NS/NR,11
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2019,Sim,30,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,Yes,720
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2019,Em parte,47,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,Partly,1128
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2019,Não,21,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,No,504
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2019,NS/NR,2,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,NS/NR,48
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2021,Sim,30,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,Yes,900
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2021,Em parte,48,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,Partly,1440
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2021,Não,21,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,No,630
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2021,NS/NR,2,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,NS/NR,60
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2023,Sim,29,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,Yes,6318
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2023,Em parte,51,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,Partly,11111
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2023,Não,19,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,No,4139
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Você acha que a Lei Maria da Penha protege as mulheres contra a violência doméstica e familiar?,2023,NS/NR,1,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,NS/NR,217
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2017,Muito,18,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Very,200
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2017,Pouco,77,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Little,859
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2017,Nada,4,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Nothing,44
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2017,NS/NR,1,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,NS/NR,11
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2019,Muito,19,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Very,456
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2019,Pouco,68,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Little,1632
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2019,Nada,11,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Nothing,264
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2019,NS/NR,2,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,NS/NR,48
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2021,Muito,19,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Very,570
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2021,Pouco,69,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Little,2070
Conhecimento e eficácia das leis (reconhecimento de ações/leis),Quanto você conhece sobre a Lei Maria da Penha?,2021,Nada,11,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Nothing,330
