year,category,question,answer,percentage,total_answers
2011,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law should also be valid for ex-boyfriend and former colleague or ex-husband?,Yes,96,1297
2011,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law should also be valid for ex-boyfriend and former colleague or ex-husband?,No,3,40
2011,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law should also be valid for ex-boyfriend and former colleague or ex-husband?,NS/NR,1,13
2011,Knowledge and effectiveness of laws (recognition of actions/laws),"When the perpetrator is convicted for up to one year, the judge may exchange the prison sentence for another alternative penalty or suspend the process. For you this understanding of the judge:",Weakens the law,79,1068
2011,Knowledge and effectiveness of laws (recognition of actions/laws),"When the perpetrator is convicted for up to one year, the judge may exchange the prison sentence for another alternative penalty or suspend the process. For you this understanding of the judge:",Strengthen the law,16,216
2011,Knowledge and effectiveness of laws (recognition of actions/laws),"When the perpetrator is convicted for up to one year, the judge may exchange the prison sentence for another alternative penalty or suspend the process. For you this understanding of the judge:",NS/NR,5,67
2011,Knowledge and effectiveness of laws (recognition of actions/laws),"When the perpetrator is convicted for up to one year, the judge may exchange the prison sentence for another alternative penalty or suspend the process. For you this understanding of the judge:",Decreases protection to women,78,1054
2011,Knowledge and effectiveness of laws (recognition of actions/laws),"When the perpetrator is convicted for up to one year, the judge may exchange the prison sentence for another alternative penalty or suspend the process. For you this understanding of the judge:",Increases protection for women,18,243
2011,Knowledge and effectiveness of laws (recognition of actions/laws),"When the perpetrator is convicted for up to one year, the judge may exchange the prison sentence for another alternative penalty or suspend the process. For you this understanding of the judge:",NS/NR,4,54
2013,Knowledge and effectiveness of laws (recognition of actions/laws),"In your opinion, should the perpetrator even be sued against the victim's will?",He must,94,1173
2013,Knowledge and effectiveness of laws (recognition of actions/laws),"In your opinion, should the perpetrator even be sued against the victim's will?",Should not,5,62
2013,Knowledge and effectiveness of laws (recognition of actions/laws),"In your opinion, should the perpetrator even be sued against the victim's will?",NS/NR,1,12
2015,Knowledge and effectiveness of laws (recognition of actions/laws),"In your opinion, should the perpetrator even be sued against the victim's will?",He must,97,1068
2015,Knowledge and effectiveness of laws (recognition of actions/laws),"In your opinion, should the perpetrator even be sued against the victim's will?",Should not,2,22
2015,Knowledge and effectiveness of laws (recognition of actions/laws),"In your opinion, should the perpetrator even be sued against the victim's will?",NS/NR,1,11
2017,Knowledge and effectiveness of laws (recognition of actions/laws),"In your opinion, should the perpetrator even be sued against the victim's will?",He must,97,1082
2017,Knowledge and effectiveness of laws (recognition of actions/laws),"In your opinion, should the perpetrator even be sued against the victim's will?",Should not,2,22
2017,Knowledge and effectiveness of laws (recognition of actions/laws),"In your opinion, should the perpetrator even be sued against the victim's will?",NS/NR,1,11
2017,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,Yes,26,290
2017,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,Partly,53,591
2017,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,No,20,223
2017,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,NS/NR,1,11
2019,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,Yes,30,720
2019,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,Partly,47,1128
2019,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,No,21,504
2019,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,NS/NR,2,48
2021,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,Yes,30,900
2021,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,Partly,48,1440
2021,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,No,21,630
2021,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,NS/NR,2,60
2023,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,Yes,29,6318
2023,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,Partly,51,11111
2023,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,No,19,4139
2023,Knowledge and effectiveness of laws (recognition of actions/laws),Do you think the Maria da Penha Law protects women against domestic and family violence?,NS/NR,1,217
2017,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Very,18,200
2017,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Little,77,859
2017,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Nothing,4,44
2017,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,NS/NR,1,11
2019,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Very,19,456
2019,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Little,68,1632
2019,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Nothing,11,264
2019,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,NS/NR,2,48
2021,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Very,19,570
2021,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Little,69,2070
2021,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Nothing,11,330
2021,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,NS/NR,1,30
2023,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Very,24,5228
2023,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Little,67,14597
2023,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,Nothing,8,1742
2023,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about the Maria da Penha Law?,NS/NR,1,217
2019,Knowledge and effectiveness of laws (recognition of actions/laws),How do you evaluate the National Congress performance in the creation of laws to protect women?,Excellent,7,168
2019,Knowledge and effectiveness of laws (recognition of actions/laws),How do you evaluate the National Congress performance in the creation of laws to protect women?,Good,12,288
2019,Knowledge and effectiveness of laws (recognition of actions/laws),How do you evaluate the National Congress performance in the creation of laws to protect women?,Regular,41,983
2019,Knowledge and effectiveness of laws (recognition of actions/laws),How do you evaluate the National Congress performance in the creation of laws to protect women?,Bad,14,336
2019,Knowledge and effectiveness of laws (recognition of actions/laws),How do you evaluate the National Congress performance in the creation of laws to protect women?,Bad,24,576
2019,Knowledge and effectiveness of laws (recognition of actions/laws),How do you evaluate the National Congress performance in the creation of laws to protect women?,NS/NR,3,72
2021,Knowledge and effectiveness of laws (recognition of actions/laws),How do you evaluate the National Congress performance in the creation of laws to protect women?,Excellent,7,210
2021,Knowledge and effectiveness of laws (recognition of actions/laws),How do you evaluate the National Congress performance in the creation of laws to protect women?,Good,10,300
2021,Knowledge and effectiveness of laws (recognition of actions/laws),How do you evaluate the National Congress performance in the creation of laws to protect women?,Regular,42,1260
2021,Knowledge and effectiveness of laws (recognition of actions/laws),How do you evaluate the National Congress performance in the creation of laws to protect women?,Bad,12,360
2021,Knowledge and effectiveness of laws (recognition of actions/laws),How do you evaluate the National Congress performance in the creation of laws to protect women?,Bad,27,810
2021,Knowledge and effectiveness of laws (recognition of actions/laws),How do you evaluate the National Congress performance in the creation of laws to protect women?,NS/NR,4,120
2019,Knowledge and effectiveness of laws (recognition of actions/laws),"Should you think, should women aggressors or should not be required to use electronic anklet?",Should,82,1967
2019,Knowledge and effectiveness of laws (recognition of actions/laws),"Should you think, should women aggressors or should not be required to use electronic anklet?",Should not,15,360
2019,Knowledge and effectiveness of laws (recognition of actions/laws),"Should you think, should women aggressors or should not be required to use electronic anklet?",NS/NR,3,72
2019,Knowledge and effectiveness of laws (recognition of actions/laws),"For you, if the attackers have to wear electronic anklet, violence against women will:",Increase,10,240
2019,Knowledge and effectiveness of laws (recognition of actions/laws),"For you, if the attackers have to wear electronic anklet, violence against women will:",Remain the same,33,792
2019,Knowledge and effectiveness of laws (recognition of actions/laws),"For you, if the attackers have to wear electronic anklet, violence against women will:",To decrease,55,1320
2019,Knowledge and effectiveness of laws (recognition of actions/laws),"For you, if the attackers have to wear electronic anklet, violence against women will:",NS/NR,3,72
2021,Knowledge and effectiveness of laws (recognition of actions/laws),"The Senate evaluates to make a crime to electronicly committed women, such as social networks and mobile messages. If this proposal is approved, you think the protection of women will:",Increase,49,1470
2021,Knowledge and effectiveness of laws (recognition of actions/laws),"The Senate evaluates to make a crime to electronicly committed women, such as social networks and mobile messages. If this proposal is approved, you think the protection of women will:",Remain the same,32,960
2021,Knowledge and effectiveness of laws (recognition of actions/laws),"The Senate evaluates to make a crime to electronicly committed women, such as social networks and mobile messages. If this proposal is approved, you think the protection of women will:",To decrease,16,480
2021,Knowledge and effectiveness of laws (recognition of actions/laws),"The Senate evaluates to make a crime to electronicly committed women, such as social networks and mobile messages. If this proposal is approved, you think the protection of women will:",NS/NR,3,90
2023,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about protective measure?,Very,16,3485
2023,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about protective measure?,Little,68,14815
2023,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about protective measure?,Nothing,15,3268
2023,Knowledge and effectiveness of laws (recognition of actions/laws),How much do you know about protective measure?,NS/NR,1,217
2023,Knowledge and effectiveness of laws (recognition of actions/laws),Have you ever requested protective measure for your safety?,Yes,27,5882
2023,Knowledge and effectiveness of laws (recognition of actions/laws),Have you ever requested protective measure for your safety?,No,73,15904
2023,Knowledge and effectiveness of laws (recognition of actions/laws),Have you ever requested protective measure for your safety?,NS/NR,0,0
2023,Knowledge and effectiveness of laws (recognition of actions/laws),Was there non -compliance with this measure by the person who assaulted you?,Yes,48,10457
2023,Knowledge and effectiveness of laws (recognition of actions/laws),Was there non -compliance with this measure by the person who assaulted you?,No,49,10675
2023,Knowledge and effectiveness of laws (recognition of actions/laws),Was there non -compliance with this measure by the person who assaulted you?,NS/NR,3,653
2005,The violence lived / witnessed,Have you ever witnessed any act of domestic violence against women?,Yes,39,317
2005,The violence lived / witnessed,Have you ever witnessed any act of domestic violence against women?,No,61,497
2005,The violence lived / witnessed,Have you ever witnessed any act of domestic violence against women?,NS/NR,0,0
2005,The violence lived / witnessed,And what kind of violence did you witness?,Physical,80,652
2005,The violence lived / witnessed,And what kind of violence did you witness?,Psychological,9,73
2005,The violence lived / witnessed,And what kind of violence did you witness?,Moral,8,65
2005,The violence lived / witnessed,And what kind of violence did you witness?,Sexual,3,24
2005,The violence lived / witnessed,And what kind of violence did you witness?,NS/NR,1,8
2005,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,Yes,17,138
2005,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,No,82,668
2005,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,NS/NR,0,0
2007,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,Yes,15,119
2007,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,No,85,677
2007,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,NS/NR,0,0
2009,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,Yes,19,157
2009,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,No,81,669
2009,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,NS/NR,0,0
2011,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,Yes,19,256
2011,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,No,81,1095
2011,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,NS/NR,0,0
2013,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,Yes,19,237
2013,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,No,81,1010
2013,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,NS/NR,0,0
2015,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,Yes,18,198
2015,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,No,82,903
2015,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,NS/NR,0,0
2017,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,Yes,29,323
2017,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,No,71,792
2017,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,NS/NR,0,0
2019,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,Yes,27,648
2019,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,No,73,1752
2019,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,NS/NR,0,0
2021,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,Yes,27,810
2021,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,No,72,2160
2021,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,NS/NR,0,0
2023,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,Yes,30,6536
2023,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,No,69,15033
2023,The violence lived / witnessed,Have you ever suffered any kind of domestic or familiar violence caused by a man?,NS/NR,0,0
2005,The violence lived / witnessed,And what was the type of violence suffered?,Physical,54,440
2005,The violence lived / witnessed,And what was the type of violence suffered?,Psychological,23,187
2005,The violence lived / witnessed,And what was the type of violence suffered?,Moral,14,114
2005,The violence lived / witnessed,And what was the type of violence suffered?,Sexual,7,57
2005,The violence lived / witnessed,And what was the type of violence suffered?,NS/NR,1,8
2007,The violence lived / witnessed,And what was the type of violence suffered?,Physical,59,470
2007,The violence lived / witnessed,And what was the type of violence suffered?,Psychological,11,87
2007,The violence lived / witnessed,And what was the type of violence suffered?,Moral,9,71
2007,The violence lived / witnessed,And what was the type of violence suffered?,Sexual,5,39
2007,The violence lived / witnessed,And what was the type of violence suffered?,NS/NR,0,0
2009,The violence lived / witnessed,And what was the type of violence suffered?,Physical,74,611
2009,The violence lived / witnessed,And what was the type of violence suffered?,Moral,30,248
2009,The violence lived / witnessed,And what was the type of violence suffered?,Psychological,29,239
2009,The violence lived / witnessed,And what was the type of violence suffered?,Patrimonial,7,57
2009,The violence lived / witnessed,And what was the type of violence suffered?,Sexual,6,49
2009,The violence lived / witnessed,And what was the type of violence suffered?,NS/NR,1,8
2011,The violence lived / witnessed,And what was the type of violence suffered?,Sexual,8,108
2011,The violence lived / witnessed,And what was the type of violence suffered?,Patrimonial,7,94
2011,The violence lived / witnessed,And what was the type of violence suffered?,Physical,69,932
2011,The violence lived / witnessed,And what was the type of violence suffered?,Psychological,41,554
2011,The violence lived / witnessed,And what was the type of violence suffered?,Moral,35,473
2011,The violence lived / witnessed,And what was the type of violence suffered?,NS/NR,1,13
2013,The violence lived / witnessed,And what was the type of violence suffered?,Patrimonial,8,99
2013,The violence lived / witnessed,And what was the type of violence suffered?,Physical,64,798
2013,The violence lived / witnessed,And what was the type of violence suffered?,Moral,41,511
2013,The violence lived / witnessed,And what was the type of violence suffered?,Psychological,40,499
2013,The violence lived / witnessed,And what was the type of violence suffered?,Sexual,14,174
2013,The violence lived / witnessed,And what was the type of violence suffered?,NS/NR,0,0
2015,The violence lived / witnessed,And what was the type of violence suffered?,Patrimonial,9,99
2015,The violence lived / witnessed,And what was the type of violence suffered?,Physical,70,771
2015,The violence lived / witnessed,And what was the type of violence suffered?,Psychological,52,573
2015,The violence lived / witnessed,And what was the type of violence suffered?,Moral,35,385
2015,The violence lived / witnessed,And what was the type of violence suffered?,Sexual,15,165
2015,The violence lived / witnessed,And what was the type of violence suffered?,NS/NR,0,0
2017,The violence lived / witnessed,And what was the type of violence suffered?,Physical,67,747
2017,The violence lived / witnessed,And what was the type of violence suffered?,Psychological,47,524
2017,The violence lived / witnessed,And what was the type of violence suffered?,Moral,36,401
2017,The violence lived / witnessed,And what was the type of violence suffered?,Sexual,15,167
2017,The violence lived / witnessed,And what was the type of violence suffered?,Patrimonial,8,89
2017,The violence lived / witnessed,And what was the type of violence suffered?,NS/NR,0,0
2019,The violence lived / witnessed,And what was the type of violence suffered?,Physical,66,1584
2019,The violence lived / witnessed,And what was the type of violence suffered?,Psychological,52,1248
2019,The violence lived / witnessed,And what was the type of violence suffered?,Moral,36,864
2019,The violence lived / witnessed,And what was the type of violence suffered?,Sexual,16,384
2019,The violence lived / witnessed,And what was the type of violence suffered?,Patrimonial,11,264
2019,The violence lived / witnessed,And what was the type of violence suffered?,NS/NR,0,0
2021,The violence lived / witnessed,And what was the type of violence suffered?,Physical,68,2040
2021,The violence lived / witnessed,And what was the type of violence suffered?,Psychological,61,1830
2021,The violence lived / witnessed,And what was the type of violence suffered?,Moral,44,1320
2021,The violence lived / witnessed,And what was the type of violence suffered?,Sexual,21,630
2021,The violence lived / witnessed,And what was the type of violence suffered?,Patrimonial,17,510
2021,The violence lived / witnessed,And what was the type of violence suffered?,NS/NR,0,0
2023,The violence lived / witnessed,And what was the type of violence suffered?,Psychological,89,19390
2023,The violence lived / witnessed,And what was the type of violence suffered?,Moral,77,16775
2023,The violence lived / witnessed,And what was the type of violence suffered?,Physical,76,16558
2023,The violence lived / witnessed,And what was the type of violence suffered?,Patrimonial,34,7407
2023,The violence lived / witnessed,And what was the type of violence suffered?,Sexual,25,5446
2005,The violence lived / witnessed,How many times have you been a victim of violence?,Once,28,228
2005,The violence lived / witnessed,How many times have you been a victim of violence?,2 times,10,81
2005,The violence lived / witnessed,How many times have you been a victim of violence?,3 times,11,89
2005,The violence lived / witnessed,How many times have you been a victim of violence?,4 times or more,50,407
2005,The violence lived / witnessed,How many times have you been a victim of violence?,NS/NR,1,8
2005,The violence lived / witnessed,What was your age when you were first assaulted?,Until 19 years,37,301
2005,The violence lived / witnessed,What was your age when you were first assaulted?,20 to 29 years,39,317
2005,The violence lived / witnessed,What was your age when you were first assaulted?,30 to 39 years,14,114
2005,The violence lived / witnessed,What was your age when you were first assaulted?,40 to 49 years,8,65
2005,The violence lived / witnessed,What was your age when you were first assaulted?,50 to 59 years,1,8
2005,The violence lived / witnessed,What was your age when you were first assaulted?,60 years or more,1,8
2005,The violence lived / witnessed,What was your age when you were first assaulted?,NS/NR,0,0
2007,The violence lived / witnessed,What was your age when you were first assaulted?,Until 19 years,35,278
2007,The violence lived / witnessed,What was your age when you were first assaulted?,20 to 29 years,43,342
2007,The violence lived / witnessed,What was your age when you were first assaulted?,30 to 39 years,16,127
2007,The violence lived / witnessed,What was your age when you were first assaulted?,40 to 49 years,2,15
2007,The violence lived / witnessed,What was your age when you were first assaulted?,50 to 59 years,2,15
2007,The violence lived / witnessed,What was your age when you were first assaulted?,60 years or more,0,0
2007,The violence lived / witnessed,What was your age when you were first assaulted?,NS/NR,2,15
2009,The violence lived / witnessed,What was your age when you were first assaulted?,Until 19 years,24,198
2009,The violence lived / witnessed,What was your age when you were first assaulted?,20 to 29 years,46,380
2009,The violence lived / witnessed,What was your age when you were first assaulted?,30 to 39 years,16,132
2009,The violence lived / witnessed,What was your age when you were first assaulted?,40 to 49 years,8,66
2009,The violence lived / witnessed,What was your age when you were first assaulted?,50 to 59 years,4,33
2009,The violence lived / witnessed,What was your age when you were first assaulted?,60 years or more,1,8
2009,The violence lived / witnessed,What was your age when you were first assaulted?,NS/NR,2,16
2011,The violence lived / witnessed,What was your age when you were first assaulted?,Until 19 years,28,378
2011,The violence lived / witnessed,What was your age when you were first assaulted?,20 to 29 years,40,540
2011,The violence lived / witnessed,What was your age when you were first assaulted?,30 to 39 years,17,229
2011,The violence lived / witnessed,What was your age when you were first assaulted?,40 to 49 years,10,135
2011,The violence lived / witnessed,What was your age when you were first assaulted?,50 to 59 years,0,0
2011,The violence lived / witnessed,What was your age when you were first assaulted?,60 years or more,1,13
2011,The violence lived / witnessed,What was your age when you were first assaulted?,NS/NR,4,54
2013,The violence lived / witnessed,What was your age when you were first assaulted?,Until 19 years,32,399
2013,The violence lived / witnessed,What was your age when you were first assaulted?,20 to 29 years,34,424
2013,The violence lived / witnessed,What was your age when you were first assaulted?,30 to 39 years,20,249
2013,The violence lived / witnessed,What was your age when you were first assaulted?,40 to 49 years,7,87
2013,The violence lived / witnessed,What was your age when you were first assaulted?,50 to 59 years,2,24
2013,The violence lived / witnessed,What was your age when you were first assaulted?,60 years or more,1,12
2013,The violence lived / witnessed,What was your age when you were first assaulted?,NS/NR,4,49
2015,The violence lived / witnessed,What was your age when you were first assaulted?,Until 19 years,32,352
2015,The violence lived / witnessed,What was your age when you were first assaulted?,20 to 29 years,34,374
2015,The violence lived / witnessed,What was your age when you were first assaulted?,30 to 39 years,17,187
2015,The violence lived / witnessed,What was your age when you were first assaulted?,40 to 49 years,10,110
2015,The violence lived / witnessed,What was your age when you were first assaulted?,50 to 59 years,4,44
2015,The violence lived / witnessed,What was your age when you were first assaulted?,60 years or more,0,0
2015,The violence lived / witnessed,What was your age when you were first assaulted?,NS/NR,1,11
2017,The violence lived / witnessed,What was your age when you were first assaulted?,Until 19 years,35,390
2017,The violence lived / witnessed,What was your age when you were first assaulted?,20 to 29 years,33,368
2017,The violence lived / witnessed,What was your age when you were first assaulted?,30 to 39 years,21,234
2017,The violence lived / witnessed,What was your age when you were first assaulted?,40 to 49 years,5,55
2017,The violence lived / witnessed,What was your age when you were first assaulted?,50 to 59 years,2,22
2017,The violence lived / witnessed,What was your age when you were first assaulted?,60 years or more,1,11
2017,The violence lived / witnessed,What was your age when you were first assaulted?,NS/NR,4,44
2019,The violence lived / witnessed,What was your age when you were first assaulted?,Until 19 years,31,744
2019,The violence lived / witnessed,What was your age when you were first assaulted?,20 to 29 years,38,912
2019,The violence lived / witnessed,What was your age when you were first assaulted?,30 to 39 years,17,408
2019,The violence lived / witnessed,What was your age when you were first assaulted?,40 to 49 years,6,144
2019,The violence lived / witnessed,What was your age when you were first assaulted?,50 to 59 years,2,48
2019,The violence lived / witnessed,What was your age when you were first assaulted?,60 years or more,1,24
2019,The violence lived / witnessed,What was your age when you were first assaulted?,NS/NR,5,120
2021,The violence lived / witnessed,What was your age when you were first assaulted?,Until 19 years,40,1200
2021,The violence lived / witnessed,What was your age when you were first assaulted?,20 to 29 years,29,869
2021,The violence lived / witnessed,What was your age when you were first assaulted?,30 to 39 years,18,540
2021,The violence lived / witnessed,What was your age when you were first assaulted?,40 to 49 years,5,150
2021,The violence lived / witnessed,What was your age when you were first assaulted?,50 to 59 years,2,60
2021,The violence lived / witnessed,What was your age when you were first assaulted?,60 years or more,2,60
2021,The violence lived / witnessed,What was your age when you were first assaulted?,NS/NR,4,120
2023,The violence lived / witnessed,What was your age when you were first assaulted?,Until 19 years,35,7625
2023,The violence lived / witnessed,What was your age when you were first assaulted?,20 to 29 years,31,6753
2023,The violence lived / witnessed,What was your age when you were first assaulted?,30 to 39 years,16,3485
2023,The violence lived / witnessed,What was your age when you were first assaulted?,40 to 49 years,8,1742
2023,The violence lived / witnessed,What was your age when you were first assaulted?,50 to 59 years,3,653
2023,The violence lived / witnessed,What was your age when you were first assaulted?,60 years or more,2,435
2023,The violence lived / witnessed,What was your age when you were first assaulted?,NS/NR,6,1307
2005,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Husband/Companion,66,537
2005,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Boyfriend,9,73
2005,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Father/stepfather,6,48
2005,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Uncle/cousin,4,32
2005,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Son/Stepker,3,24
2005,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Other,2,16
2005,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",NS/NR,11,89
2007,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Husband/Companion,87,693
2007,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Boyfriend,4,31
2007,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Father/stepfather,2,15
2007,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Uncle/cousin,1,7
2007,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",NS/NR,6,47
2009,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Husband/Companion,76,628
2009,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Boyfriend,5,41
2009,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Other,4,33
2009,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Brother/brother -in -law,4,33
2009,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Son/Stepker,4,33
2009,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Father/stepfather,4,33
2009,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",NS/NR,3,24
2011,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Husband/Companion,66,892
2011,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Ex-boyfriend/ex-husband/former partner,13,175
2011,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Other,6,81
2011,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Father/stepfather,4,54
2011,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Boyfriend,3,40
2011,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Brother/brother -in -law,3,40
2011,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Uncle/cousin,2,27
2011,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Son/Stepker,0,0
2011,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",NS/NR,4,54
2013,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Husband/Companion,60,748
2013,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Ex-boyfriend/ex-husband/former partner,13,162
2013,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Other,8,99
2013,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Father/stepfather,6,74
2013,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Boyfriend,4,49
2013,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Brother/brother -in -law,4,49
2013,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Uncle/cousin,3,37
2013,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Son/Stepker,0,0
2013,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",NS/NR,1,12
2015,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Husband/Companion,49,539
